중분류코드,중분류명,대분류코드
101,제과제빵,1
102,음료,1
103,가공식품,1
104,냉동냉장,1
105,조미식품,1
106,기호식품,1
107,통조림(캔),1
108,주류,1
109,기타식품,1
201,세면,2
202,세제,2
203,생활잡화,2
204,위생용품,2
205,기타비식품,2
301,"야채,두부,콩나물",3
302,과일,3
303,생선,3
304,건어물,3
305,계란,3
401,"양곡,잡곡",4
501,봉투,5
601,담배,6
701,선물세트,7
9999,신상품,99
306,정육,3
